name,url,dbname,code,lang
Afar Wikipedia,https://aa.wikipedia.org,aawiki,wiki,aa
Afar Wiktionary,https://aa.wiktionary.org,aawiktionary,wiktionary,aa
Afar Wikibooks,https://aa.wikibooks.org,aawikibooks,wikibooks,aa
Abkhazian Авикипедиа,https://ab.wikipedia.org,abwiki,wiki,ab
Abkhazian Wiktionary,https://ab.wiktionary.org,abwiktionary,wiktionary,ab
Achinese Wikipedia,https://ace.wikipedia.org,acewiki,wiki,ace
Adyghe Википедие,https://ady.wikipedia.org,adywiki,wiki,ady
Afrikaans Wikipedia,https://af.wikipedia.org,afwiki,wiki,af
Afrikaans Wiktionary,https://af.wiktionary.org,afwiktionary,wiktionary,af
Afrikaans Wikibooks,https://af.wikibooks.org,afwikibooks,wikibooks,af
Afrikaans Wikiquote,https://af.wikiquote.org,afwikiquote,wikiquote,af
Akan Wikipedia,https://ak.wikipedia.org,akwiki,wiki,ak
Akan Wiktionary,https://ak.wiktionary.org,akwiktionary,wiktionary,ak
Akan Wikibooks,https://ak.wikibooks.org,akwikibooks,wikibooks,ak
Alemannisch Wikipedia,https://als.wikipedia.org,alswiki,wiki,gsw
Amharic ውክፔዲያ,https://am.wikipedia.org,amwiki,wiki,am
Amharic Wiktionary,https://am.wiktionary.org,amwiktionary,wiktionary,am
Amharic Wikiquote,https://am.wikiquote.org,amwikiquote,wikiquote,am
Aragonese Wikipedia,https://an.wikipedia.org,anwiki,wiki,an
Aragonese Wiktionary,https://an.wiktionary.org,anwiktionary,wiktionary,an
Old English Wikipǣdia,https://ang.wikipedia.org,angwiki,wiki,ang
Old English Wikiwordbōc,https://ang.wiktionary.org,angwiktionary,wiktionary,ang
Old English Wikibooks,https://ang.wikibooks.org,angwikibooks,wikibooks,ang
Old English Wikiquote,https://ang.wikiquote.org,angwikiquote,wikiquote,ang
Old English Wicifruma,https://ang.wikisource.org,angwikisource,wikisource,ang
Arabic ويكيبيديا,https://ar.wikipedia.org,arwiki,wiki,ar
Arabic ويكاموس,https://ar.wiktionary.org,arwiktionary,wiktionary,ar
Arabic ويكي_الكتب,https://ar.wikibooks.org,arwikibooks,wikibooks,ar
Arabic ويكي_الأخبار,https://ar.wikinews.org,arwikinews,wikinews,ar
Arabic ويكي_الاقتباس,https://ar.wikiquote.org,arwikiquote,wikiquote,ar
Arabic ويكي_مصدر,https://ar.wikisource.org,arwikisource,wikisource,ar
Arabic ويكي الجامعة,https://ar.wikiversity.org,arwikiversity,wikiversity,ar
Aramaic ܘܝܩܝܦܕܝܐ,https://arc.wikipedia.org,arcwiki,wiki,arc
Egyptian Arabic ويكيبيديا,https://arz.wikipedia.org,arzwiki,wiki,arz
Assamese অসমীয়া ৱিকিপিডিয়া,https://as.wikipedia.org,aswiki,wiki,as
Assamese Wiktionary,https://as.wiktionary.org,aswiktionary,wiktionary,as
Assamese Wikibooks,https://as.wikibooks.org,aswikibooks,wikibooks,as
Assamese ৱিকিউৎস,https://as.wikisource.org,aswikisource,wikisource,as
Asturian Wikipedia,https://ast.wikipedia.org,astwiki,wiki,ast
Asturian Wikcionariu,https://ast.wiktionary.org,astwiktionary,wiktionary,ast
Asturian Wikibooks,https://ast.wikibooks.org,astwikibooks,wikibooks,ast
Asturian Wikiquote,https://ast.wikiquote.org,astwikiquote,wikiquote,ast
Atikamekw Wikipetcia,https://atj.wikipedia.org,atjwiki,wiki,atj
Avaric Wikipedia,https://av.wikipedia.org,avwiki,wiki,av
Avaric Wiktionary,https://av.wiktionary.org,avwiktionary,wiktionary,av
Aymara Wikipedia,https://ay.wikipedia.org,aywiki,wiki,ay
Aymara Wiktionary,https://ay.wiktionary.org,aywiktionary,wiktionary,ay
Aymara Wikibooks,https://ay.wikibooks.org,aywikibooks,wikibooks,ay
Azerbaijani Vikipediya,https://az.wikipedia.org,azwiki,wiki,az
Azerbaijani Wiktionary,https://az.wiktionary.org,azwiktionary,wiktionary,az
Azerbaijani Vikikitab,https://az.wikibooks.org,azwikibooks,wikibooks,az
Azerbaijani Vikisitat,https://az.wikiquote.org,azwikiquote,wikiquote,az
Azerbaijani Vikimənbə,https://az.wikisource.org,azwikisource,wikisource,az
South Azerbaijani ویکی‌پدیا,https://azb.wikipedia.org,azbwiki,wiki,azb
Bashkir Википедия,https://ba.wikipedia.org,bawiki,wiki,ba
Bashkir Викидәреслек,https://ba.wikibooks.org,bawikibooks,wikibooks,ba
Bavarian Wikipedia,https://bar.wikipedia.org,barwiki,wiki,bar
Samogitian Wikipedia,https://bat-smg.wikipedia.org,bat_smgwiki,wiki,sgs
Central Bikol Wikipedia,https://bcl.wikipedia.org,bclwiki,wiki,bcl
Belarusian Вікіпедыя,https://be.wikipedia.org,bewiki,wiki,be
Belarusian Вікіслоўнік,https://be.wiktionary.org,bewiktionary,wiktionary,be
Belarusian Wikibooks,https://be.wikibooks.org,bewikibooks,wikibooks,be
Belarusian Wikiquote,https://be.wikiquote.org,bewikiquote,wikiquote,be
Belarusian Вікікрыніцы,https://be.wikisource.org,bewikisource,wikisource,be
Belarusian (Taraškievica orthography) Вікіпэдыя,https://be-tarask.wikipedia.org,be_x_oldwiki,wiki,be-tarask
Bulgarian Уикипедия,https://bg.wikipedia.org,bgwiki,wiki,bg
Bulgarian Уикиречник,https://bg.wiktionary.org,bgwiktionary,wiktionary,bg
Bulgarian Уикикниги,https://bg.wikibooks.org,bgwikibooks,wikibooks,bg
Bulgarian Уикиновини,https://bg.wikinews.org,bgwikinews,wikinews,bg
Bulgarian Уикицитат,https://bg.wikiquote.org,bgwikiquote,wikiquote,bg
Bulgarian Уикиизточник,https://bg.wikisource.org,bgwikisource,wikisource,bg
Bhojpuri विकिपीडिया,https://bh.wikipedia.org,bhwiki,wiki,bho
Bhojpuri Wiktionary,https://bh.wiktionary.org,bhwiktionary,wiktionary,bho
Bislama Wikipedia,https://bi.wikipedia.org,biwiki,wiki,bi
Bislama Wiktionary,https://bi.wiktionary.org,biwiktionary,wiktionary,bi
Bislama Wikibooks,https://bi.wikibooks.org,biwikibooks,wikibooks,bi
Banjar Wikipidia,https://bjn.wikipedia.org,bjnwiki,wiki,bjn
Bambara Wikipedia,https://bm.wikipedia.org,bmwiki,wiki,bm
Bambara Wiktionary,https://bm.wiktionary.org,bmwiktionary,wiktionary,bm
Bambara Wikibooks,https://bm.wikibooks.org,bmwikibooks,wikibooks,bm
Bambara Wikiquote,https://bm.wikiquote.org,bmwikiquote,wikiquote,bm
Bangla উইকিপিডিয়া,https://bn.wikipedia.org,bnwiki,wiki,bn
Bangla উইকিঅভিধান,https://bn.wiktionary.org,bnwiktionary,wiktionary,bn
Bangla উইকিবই,https://bn.wikibooks.org,bnwikibooks,wikibooks,bn
Bangla উইকিসংকলন,https://bn.wikisource.org,bnwikisource,wikisource,bn
Bangla উইকিভ্রমণ,https://bn.wikivoyage.org,bnwikivoyage,wikivoyage,bn
Tibetan Wikipedia,https://bo.wikipedia.org,bowiki,wiki,bo
Tibetan Wiktionary,https://bo.wiktionary.org,bowiktionary,wiktionary,bo
Tibetan Wikibooks,https://bo.wikibooks.org,bowikibooks,wikibooks,bo
Bishnupriya উইকিপিডিয়া,https://bpy.wikipedia.org,bpywiki,wiki,bpy
Breton Wikipedia,https://br.wikipedia.org,brwiki,wiki,br
Breton Wikeriadur,https://br.wiktionary.org,brwiktionary,wiktionary,br
Breton Wikiarroud,https://br.wikiquote.org,brwikiquote,wikiquote,br
Breton Wikimammenn,https://br.wikisource.org,brwikisource,wikisource,br
Bosnian Wikipedia,https://bs.wikipedia.org,bswiki,wiki,bs
Bosnian Wikirječnik,https://bs.wiktionary.org,bswiktionary,wiktionary,bs
Bosnian Wikiknjige,https://bs.wikibooks.org,bswikibooks,wikibooks,bs
Bosnian Wikivijesti,https://bs.wikinews.org,bswikinews,wikinews,bs
Bosnian Wikicitati,https://bs.wikiquote.org,bswikiquote,wikiquote,bs
Bosnian Wikizvor,https://bs.wikisource.org,bswikisource,wikisource,bs
Buginese Wikipedia,https://bug.wikipedia.org,bugwiki,wiki,bug
Russia Buriat Wikipedia,https://bxr.wikipedia.org,bxrwiki,wiki,bxr
Catalan Viquipèdia,https://ca.wikipedia.org,cawiki,wiki,ca
Catalan Viccionari,https://ca.wiktionary.org,cawiktionary,wiktionary,ca
Catalan Viquillibres,https://ca.wikibooks.org,cawikibooks,wikibooks,ca
Catalan Viquinotícies,https://ca.wikinews.org,cawikinews,wikinews,ca
Catalan Viquidites,https://ca.wikiquote.org,cawikiquote,wikiquote,ca
Catalan Viquitexts,https://ca.wikisource.org,cawikisource,wikisource,ca
Chavacano Wikipedia,https://cbk-zam.wikipedia.org,cbk_zamwiki,wiki,cbk
Min Dong Chinese Wikipedia,https://cdo.wikipedia.org,cdowiki,wiki,cdo
Chechen Википеди,https://ce.wikipedia.org,cewiki,wiki,ce
Cebuano Wikipedia,https://ceb.wikipedia.org,cebwiki,wiki,ceb
Chamorro Wikipedia,https://ch.wikipedia.org,chwiki,wiki,ch
Chamorro Wiktionary,https://ch.wiktionary.org,chwiktionary,wiktionary,ch
Chamorro Wikibooks,https://ch.wikibooks.org,chwikibooks,wikibooks,ch
Choctaw Wikipedia,https://cho.wikipedia.org,chowiki,wiki,cho
Cherokee Wikipedia,https://chr.wikipedia.org,chrwiki,wiki,chr
Cherokee Wiktionary,https://chr.wiktionary.org,chrwiktionary,wiktionary,chr
Cheyenne Tsétsêhéstâhese Wikipedia,https://chy.wikipedia.org,chywiki,wiki,chy
Central Kurdish ویکیپیدیا,https://ckb.wikipedia.org,ckbwiki,wiki,ckb
Corsican Wikipedia,https://co.wikipedia.org,cowiki,wiki,co
Corsican Wiktionary,https://co.wiktionary.org,cowiktionary,wiktionary,co
Corsican Wikibooks,https://co.wikibooks.org,cowikibooks,wikibooks,co
Corsican Wikiquote,https://co.wikiquote.org,cowikiquote,wikiquote,co
Cree Wikipedia,https://cr.wikipedia.org,crwiki,wiki,cr
Cree Wiktionary,https://cr.wiktionary.org,crwiktionary,wiktionary,cr
Cree Wikiquote,https://cr.wikiquote.org,crwikiquote,wikiquote,cr
Crimean Turkish Vikipediya,https://crh.wikipedia.org,crhwiki,wiki,crh
Czech Wikipedie,https://cs.wikipedia.org,cswiki,wiki,cs
Czech Wikislovník,https://cs.wiktionary.org,cswiktionary,wiktionary,cs
Czech Wikiknihy,https://cs.wikibooks.org,cswikibooks,wikibooks,cs
Czech Wikizprávy,https://cs.wikinews.org,cswikinews,wikinews,cs
Czech Wikicitáty,https://cs.wikiquote.org,cswikiquote,wikiquote,cs
Czech Wikizdroje,https://cs.wikisource.org,cswikisource,wikisource,cs
Czech Wikiverzita,https://cs.wikiversity.org,cswikiversity,wikiversity,cs
Kashubian Wikipedia,https://csb.wikipedia.org,csbwiki,wiki,csb
Kashubian Wiktionary,https://csb.wiktionary.org,csbwiktionary,wiktionary,csb
Church Slavic Википєдїꙗ,https://cu.wikipedia.org,cuwiki,wiki,cu
Chuvash Википеди,https://cv.wikipedia.org,cvwiki,wiki,cv
Chuvash Wikibooks,https://cv.wikibooks.org,cvwikibooks,wikibooks,cv
Welsh Wicipedia,https://cy.wikipedia.org,cywiki,wiki,cy
Welsh Wiciadur,https://cy.wiktionary.org,cywiktionary,wiktionary,cy
Welsh Wicilyfrau,https://cy.wikibooks.org,cywikibooks,wikibooks,cy
Welsh Wikiquote,https://cy.wikiquote.org,cywikiquote,wikiquote,cy
Welsh Wicidestun,https://cy.wikisource.org,cywikisource,wikisource,cy
Danish Wikipedia,https://da.wikipedia.org,dawiki,wiki,da
Danish Wiktionary,https://da.wiktionary.org,dawiktionary,wiktionary,da
Danish Wikibooks,https://da.wikibooks.org,dawikibooks,wikibooks,da
Danish Wikiquote,https://da.wikiquote.org,dawikiquote,wikiquote,da
Danish Wikisource,https://da.wikisource.org,dawikisource,wikisource,da
German Wikipedia,https://de.wikipedia.org,dewiki,wiki,de
German Wiktionary,https://de.wiktionary.org,dewiktionary,wiktionary,de
German Wikibooks,https://de.wikibooks.org,dewikibooks,wikibooks,de
German Wikinews,https://de.wikinews.org,dewikinews,wikinews,de
German Wikiquote,https://de.wikiquote.org,dewikiquote,wikiquote,de
German Wikisource,https://de.wikisource.org,dewikisource,wikisource,de
German Wikiversity,https://de.wikiversity.org,dewikiversity,wikiversity,de
German Wikivoyage,https://de.wikivoyage.org,dewikivoyage,wikivoyage,de
Dinka Wikipedia,https://din.wikipedia.org,dinwiki,wiki,din
Zazaki Wikipedia,https://diq.wikipedia.org,diqwiki,wiki,diq
Lower Sorbian Wikipedija,https://dsb.wikipedia.org,dsbwiki,wiki,dsb
Doteli विकिपिडिया,https://dty.wikipedia.org,dtywiki,wiki,dty
Divehi ވިކިޕީޑިއާ,https://dv.wikipedia.org,dvwiki,wiki,dv
Divehi ވިކިރަދީފު,https://dv.wiktionary.org,dvwiktionary,wiktionary,dv
Dzongkha Wikipedia,https://dz.wikipedia.org,dzwiki,wiki,dz
Dzongkha Wiktionary,https://dz.wiktionary.org,dzwiktionary,wiktionary,dz
Ewe Wikipedia,https://ee.wikipedia.org,eewiki,wiki,ee
Greek Βικιπαίδεια,https://el.wikipedia.org,elwiki,wiki,el
Greek Βικιλεξικό,https://el.wiktionary.org,elwiktionary,wiktionary,el
Greek Βικιβιβλία,https://el.wikibooks.org,elwikibooks,wikibooks,el
Greek Βικινέα,https://el.wikinews.org,elwikinews,wikinews,el
Greek Βικιφθέγματα,https://el.wikiquote.org,elwikiquote,wikiquote,el
Greek Βικιθήκη,https://el.wikisource.org,elwikisource,wikisource,el
Greek Βικιεπιστήμιο,https://el.wikiversity.org,elwikiversity,wikiversity,el
Greek Βικιταξίδια,https://el.wikivoyage.org,elwikivoyage,wikivoyage,el
Emiliano-Romagnolo Wikipedia,https://eml.wikipedia.org,emlwiki,wiki,egl
English Wikipedia,https://en.wikipedia.org,enwiki,wiki,en
English Wiktionary,https://en.wiktionary.org,enwiktionary,wiktionary,en
English Wikibooks,https://en.wikibooks.org,enwikibooks,wikibooks,en
English Wikinews,https://en.wikinews.org,enwikinews,wikinews,en
English Wikiquote,https://en.wikiquote.org,enwikiquote,wikiquote,en
English Wikisource,https://en.wikisource.org,enwikisource,wikisource,en
English Wikiversity,https://en.wikiversity.org,enwikiversity,wikiversity,en
English Wikivoyage,https://en.wikivoyage.org,enwikivoyage,wikivoyage,en
Esperanto Vikipedio,https://eo.wikipedia.org,eowiki,wiki,eo
Esperanto Vikivortaro,https://eo.wiktionary.org,eowiktionary,wiktionary,eo
Esperanto Vikilibroj,https://eo.wikibooks.org,eowikibooks,wikibooks,eo
Esperanto Vikinovaĵoj,https://eo.wikinews.org,eowikinews,wikinews,eo
Esperanto Vikicitaro,https://eo.wikiquote.org,eowikiquote,wikiquote,eo
